dataset: GLI85 | 2 classes | 22283 features | deivce: cpu
epoch 31 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0076
epoch 41 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0057
epoch 51 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0058
epoch 61 | train ACC 64.7059 % | test ACC 70.5882 % | train loss 0.0059
epoch 71 | train ACC 58.8235 % | test ACC 75.0 % | train loss 0.0057
epoch 81 | train ACC 82.3529 % | test ACC 76.4706 % | train loss 0.0054
epoch 91 | train ACC 94.1176 % | test ACC 77.9412 % | train loss 0.0046
epoch 101 | train ACC 94.1176 % | test ACC 76.4706 % | train loss 0.004
epoch 111 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0119
epoch 121 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0132
epoch 131 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0114
epoch 141 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0102
epoch 151 | train ACC 35.2941 % | test ACC 29.4118 % | train loss 0.0095
